ID,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
19,RL,66,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,TA,TA,No,1114,GasA,Ex,Y,SBrkr,1,1,3,1,Gd,6,Detchd,2004,Unf,2,576,TA,TA,Y,NA,NA,6,2008,WD,Normal,159000
20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,TA,TA,No,1029,GasA,TA,Y,SBrkr,1,0,3,1,TA,6,Attchd,1958,Unf,1,294,TA,TA,Y,MnPrv,NA,5,2009,COD,Abnorml,139000
21,RL,101,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,1158,GasA,Ex,Y,SBrkr,3,1,4,1,Gd,9,BuiltIn,2005,RFn,3,853,TA,TA,Y,NA,NA,11,2006,New,Partial,325300
22,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,637,GasA,Ex,Y,FuseF,1,0,3,1,Gd,6,Attchd,1930,Unf,1,280,TA,TA,N,GdPrv,NA,6,2007,WD,Normal,139400
23,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1777,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,7,Attchd,2002,RFn,2,534,TA,TA,Y,NA,NA,9,2008,WD,Normal,230000
24,RM,44,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,Gd,TA,No,1040,GasA,TA,Y,SBrkr,1,0,3,1,TA,6,Attchd,1976,Unf,2,572,TA,TA,Y,NA,NA,6,2007,WD,Normal,129900
25,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,1968,2001,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,TA,TA,Mn,1060,GasA,Ex,Y,SBrkr,1,0,3,1,Gd,6,Attchd,1968,Unf,1,270,TA,TA,Y,MnPrv,NA,5,2010,WD,Normal,154000
26,RL,110,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1566,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,7,Attchd,2007,RFn,3,890,TA,TA,Y,NA,NA,7,2009,WD,Normal,256300
27,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Mn,900,GasA,TA,Y,SBrkr,1,0,3,1,Gd,5,Detchd,2005,Unf,2,576,TA,TA,Y,NA,NA,5,2010,WD,Normal,134800
28,RL,98,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,1704,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,7,Attchd,2008,RFn,3,772,TA,TA,Y,NA,NA,5,2010,WD,Normal,306000
29,RL,47,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Gd,1484,GasA,TA,Y,SBrkr,1,0,2,1,TA,6,Attchd,1957,RFn,1,319,TA,TA,Y,NA,NA,12,2006,WD,Normal,207500
30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,520,GasA,Fa,N,SBrkr,1,0,1,1,Fa,4,Detchd,1920,Unf,1,240,Fa,TA,Y,NA,NA,5,2008,WD,Normal,68500
31,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,TA,TA,No,649,GasA,TA,N,SBrkr,1,0,3,1,TA,6,Detchd,1920,Unf,1,250,TA,Fa,N,MnPrv,NA,7,2008,WD,Normal,40000
32,RL,NA,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,1228,GasA,Gd,Y,SBrkr,1,1,3,1,Gd,6,Attchd,1966,Unf,1,271,TA,TA,Y,MnPrv,NA,6,2008,WD,Normal,149350
33,RL,85,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,1234,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,7,Attchd,2007,RFn,2,484,TA,TA,Y,NA,NA,1,2008,WD,Normal,179900
34,RL,70,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,1398,GasA,Gd,Y,SBrkr,1,1,4,1,Gd,6,Attchd,1959,RFn,2,447,TA,TA,Y,NA,NA,4,2010,WD,Normal,165500
35,RL,60,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,No,1561,GasA,Ex,Y,SBrkr,2,0,2,1,Ex,6,Attchd,2005,Fin,2,556,TA,TA,Y,NA,NA,8,2007,WD,Normal,277500
36,RL,108,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,1117,GasA,Ex,Y,SBrkr,3,1,4,1,Gd,9,BuiltIn,2004,Fin,3,691,TA,TA,Y,NA,NA,9,2006,WD,Normal,309000
37,RL,112,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,1097,GasA,Ex,Y,SBrkr,1,1,3,1,TA,6,Attchd,1995,Unf,2,672,TA,TA,Y,NA,NA,6,2009,WD,Normal,145000
38,RL,74,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,1297,GasA,Gd,Y,SBrkr,1,0,3,1,TA,5,Attchd,1954,Fin,2,498,TA,TA,Y,NA,NA,10,2009,WD,Normal,153000
39,RL,68,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,No,1057,GasA,TA,Y,SBrkr,1,0,3,1,Gd,5,Detchd,1953,Unf,1,246,TA,TA,Y,NA,NA,1,2010,WD,Abnorml,109000
40,RL,65,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,NA,NA,NA,0,GasA,TA,N,FuseP,2,0,2,2,Fa,6,NA,NA,NA,0,0,NA,NA,N,NA,NA,6,2008,WD,AdjLand,82000
41,RL,84,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,1088,GasA,Ex,Y,SBrkr,2,0,3,1,TA,6,Attchd,1965,RFn,2,440,TA,TA,Y,GdWo,NA,12,2006,WD,Abnorml,160000
42,RL,115,16905,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,Gd,1350,GasA,Gd,Y,SBrkr,1,1,2,1,TA,5,Attchd,1959,RFn,1,308,TA,TA,P,NA,NA,7,2007,WD,Normal,170000
43,RL,NA,9180,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,Av,840,GasA,Gd,Y,SBrkr,1,0,2,1,Gd,5,Attchd,1983,RFn,2,504,TA,Gd,Y,MnPrv,NA,12,2007,WD,Normal,144000
44,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,Gd,TA,Av,938,GasA,TA,Y,SBrkr,1,0,3,1,TA,5,Detchd,1977,Unf,1,308,TA,TA,Y,MnPrv,NA,7,2008,WD,Normal,130250
45,RL,70,7945,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,TA,TA,No,1150,GasA,Ex,Y,FuseA,1,0,3,1,TA,6,Attchd,1959,RFn,1,300,TA,TA,Y,NA,NA,5,2006,WD,Normal,141000
46,RL,61,7658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,No,1752,GasA,Ex,Y,SBrkr,2,0,2,1,Ex,6,Attchd,2005,RFn,2,576,TA,TA,Y,NA,NA,2,2010,WD,Normal,319900
47,RL,48,12822,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,1434,GasA,Ex,Y,SBrkr,1,1,1,1,Gd,6,Attchd,2003,RFn,2,670,TA,TA,Y,NA,NA,8,2009,WD,Abnorml,239686
48,FV,84,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,1656,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,7,Attchd,2006,RFn,3,826,TA,TA,Y,NA,NA,7,2007,WD,Normal,249700
49,RM,33,4456,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,736,GasA,Gd,Y,SBrkr,2,0,2,3,TA,8,NA,NA,NA,0,0,NA,NA,N,NA,NA,6,2009,New,Partial,113000
50,RL,66,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,955,GasA,Ex,Y,SBrkr,1,0,3,1,TA,6,Attchd,1966,Unf,1,386,TA,TA,Y,MnPrv,NA,1,2007,WD,Normal,127000
51,RL,NA,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Av,794,GasA,Gd,Y,SBrkr,2,0,3,1,TA,6,Attchd,1997,Fin,2,388,TA,TA,Y,NA,NA,7,2007,WD,Normal,177000
52,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,816,GasA,TA,Y,SBrkr,1,0,3,1,TA,6,Detchd,1985,Unf,2,528,TA,TA,Y,MnPrv,Shed,9,2006,WD,Normal,114500
53,RM,110,8472,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,TA,CBlock,Gd,TA,Gd,816,GasA,TA,N,SBrkr,1,0,2,1,TA,5,CarPort,1963,Unf,2,516,TA,TA,Y,NA,NA,5,2010,WD,Normal,110000
54,RL,68,50271,Pave,NA,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Gd,TA,CBlock,Ex,TA,Gd,1842,GasA,Gd,Y,SBrkr,0,1,0,1,Gd,5,Attchd,1981,Fin,3,894,TA,TA,Y,NA,NA,11,2006,WD,Normal,385000
55,RL,60,7134,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,384,GasA,TA,Y,SBrkr,1,0,3,1,TA,6,Detchd,1962,Unf,2,572,TA,TA,Y,MnPrv,NA,2,2007,WD,Normal,130000
56,RL,100,10175,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1964,1964,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,TA,TA,No,1425,GasA,Gd,Y,SBrkr,2,0,3,1,TA,7,Attchd,1964,RFn,2,576,TA,TA,Y,NA,NA,7,2008,WD,Normal,180500
57,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,No,970,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,7,Attchd,1999,Fin,2,480,TA,TA,Y,NA,NA,8,2009,WD,Abnorml,172500
58,RL,89,11645,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,860,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,7,Attchd,2004,RFn,2,565,TA,TA,Y,NA,NA,8,2006,WD,Normal,196500
59,RL,66,13682,Pave,NA,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,Gd,1410,GasA,Ex,Y,SBrkr,3,1,3,1,Gd,10,BuiltIn,2006,Fin,3,641,TA,TA,Y,NA,NA,10,2006,New,Partial,438780
60,RL,60,7200,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Av,780,GasA,Ex,Y,SBrkr,1,0,2,1,TA,4,Detchd,1973,Unf,1,352,TA,TA,Y,MnPrv,NA,1,2008,WD,Normal,124900
61,RL,63,13072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,1158,GasA,Ex,Y,SBrkr,1,1,3,1,Gd,5,Detchd,2006,Unf,2,576,TA,TA,Y,NA,NA,5,2006,New,Partial,158000
62,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,Fa,No,530,GasA,TA,N,SBrkr,1,0,3,1,Fa,6,Detchd,1935,Unf,1,288,TA,TA,N,NA,NA,3,2007,WD,Normal,101000
63,RL,44,6442,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,Gd,Mn,1370,GasA,Ex,Y,SBrkr,2,0,2,1,Gd,6,Attchd,2006,RFn,2,484,TA,TA,Y,NA,NA,10,2007,WD,Normal,202500
64,RM,50,10300,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,6,1921,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,TA,TA,No,576,GasA,Gd,Y,SBrkr,2,0,3,1,TA,9,Detchd,1990,Unf,2,480,TA,TA,Y,GdPrv,NA,4,2010,WD,Normal,140000
65,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,1057,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,8,Attchd,1998,RFn,2,645,TA,TA,Y,GdPrv,NA,2,2009,WD,Normal,219500
66,RL,76,9591,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,1143,GasA,Ex,Y,SBrkr,2,1,4,1,Gd,9,BuiltIn,2004,RFn,3,852,TA,TA,Y,NA,NA,10,2007,WD,Normal,317000
67,RL,NA,19900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,5,1970,1989,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,Gd,TA,Gd,1947,GasA,TA,Y,SBrkr,2,0,3,1,TA,7,Attchd,1970,RFn,2,576,TA,TA,Y,NA,NA,7,2010,WD,Normal,180000
68,RL,72,10665,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,1453,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,7,Attchd,2003,RFn,2,558,TA,TA,Y,NA,NA,6,2007,WD,Normal,226000
